kafka.py:36 #INFO     [2026-02-04 10:34:00,375] - root - 0| Kafka Producer has been init
subscription_state.py:109 #INFO     [2026-02-04 10:34:00,375] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'tg-responses'})
group_coordinator.py:585 #INFO     [2026-02-04 10:34:00,404] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:411 #INFO     [2026-02-04 10:34:00,404] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1265 #INFO     [2026-02-04 10:34:00,404] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1317 #INFO     [2026-02-04 10:34:06,224] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 97) with member_id aiokafka-0.13.0-e3a5f8b8-ae5c-4953-b0dd-b051a1889e7c
group_coordinator.py:1325 #INFO     [2026-02-04 10:34:06,232] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:67 #INFO     [2026-02-04 10:34:06,237] - aiokafka.consumer.group_coordinator - 0| Metadata for topic has changed from {} to {'tg-commands': 1, 'tg-responses': 1}. 
group_coordinator.py:1457 #INFO     [2026-02-04 10:34:06,246] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 97
group_coordinator.py:497 #INFO     [2026-02-04 10:34:06,246] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='tg-responses', partition=0)} for group demo-group
kafka.py:56 #INFO     [2026-02-04 10:34:06,247] - root - 0| Kafka Consumer has been init
kafka.py:149 #INFO     [2026-02-04 10:34:06,247] - root - 0| Kafka response listener has been started!
group_coordinator.py:386 #INFO     [2026-02-04 10:35:18,841] - aiokafka.consumer.group_coordinator - 0| LeaveGroup request succeeded
